Phase,MSE,RMSE,R²,r,NSE,PBIAS
Training,56.112221713323585,7.490809149439304,0.6148652583524041,0.7886997659282138,0.6148652583524041,-4.409278337313212
Validation,111.79532416926129,10.57333079825186,0.5128904820759903,0.7198479066000674,0.5128904820759903,3.0428841099119657
Testing,137.79677583442592,11.738687142710036,0.5922104373251769,0.7841275232953592,0.5922104373251769,4.700898808066412
